#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
29878,16.06,15.63,14.56,3.56,22.06,49.75,19.06,20.19
29990,16.06,15.63,14.81,3.56,22.06,49.75,19.31,20.19
30102,16.06,15.63,14.81,3.69,22.06,49.50,19.31,20.19
30215,16.00,15.63,14.81,3.69,22.06,49.50,19.31,19.94
30326,16.00,15.63,14.56,3.69,22.06,49.50,19.37,19.94
30439,16.00,15.63,14.56,4.69,22.00,49.75,19.37,19.94
30551,16.00,15.63,14.56,4.69,22.00,49.75,19.37,19.94
30663,16.00,15.63,14.56,4.69,22.00,49.75,19.19,19.94
30775,16.00,15.63,14.56,4.00,22.25,49.50,19.19,19.94
30887,16.00,15.63,14.56,4.00,22.25,49.50,19.19,19.94
30999,16.00,15.63,14.56,4.00,22.25,49.50,19.19,19.94
31112,16.00,15.63,14.56,3.81,22.25,49.56,19.19,19.94
31223,15.69,15.56,14.56,3.81,22.00,49.56,19.19,19.94
31336,15.69,15.56,14.56,3.81,22.00,49.56,19.06,19.94
31448,15.69,15.56,14.56,5.13,22.00,49.81,19.06,19.94
31560,15.69,15.63,14.56,5.13,22.06,49.81,19.06,19.94
31672,15.69,15.63,14.56,5.13,22.06,49.81,19.06,19.94
31784,15.69,15.63,14.56,3.88,22.06,49.81,19.12,19.94
31896,15.69,15.63,14.56,3.88,22.00,49.81,19.12,19.94
32009,16.00,15.63,14.56,3.88,22.00,49.81,19.12,19.94
32120,16.00,15.63,14.56,4.56,22.00,49.81,18.87,19.94
32233,16.00,15.63,14.56,4.56,21.94,49.81,18.87,19.94
32345,16.00,15.56,14.56,4.56,21.94,49.81,18.87,19.94
32457,16.00,15.56,14.56,3.06,21.94,49.81,19.19.94
32569,16.00,15.56,14.56,3.06,22.25,49.63,19.31,19.94
32681,16.00,15.56,14.56,3.06,22.25,49.63,19.31,19.94
32793,16.00,15.56,14.56,4.75,22.25,49.63,19.00,19.94
32906,16.00,15.56,14.56,4.75,22.00,49.88,19.00,19.94
33017,16.00,15.56,14.56,4.75,22.00,49.88,19.00,19.94
33130,16.00,15.56,14.56,3.00,22.00,49.88,19.00,19.94
33242,16.00,15.56,14.56,3.00,22.19,49.88,19.00,19.94
33354,16.25,15.56,14.56,3.00,22.19,49.88,19.00,19.94
33466,16.25,15.56,14.56,3.69,22.19,49.88,19.37,19.94
33579,16.25,15.56,14.56,3.69,22.19,49.56,19.37,19.94
33690,16.00,15.56,14.56,3.69,22.19,49.56,19.37,19.94
33803,16.00,15.56,14.50,5.50,22.19,49.56,19.37,19.94
33914,16.00,15.56,14.50,5.50,22.00,49.63,19.19,19.94
