#!,Workbook:,Custom,Custom,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,
21475,12.06,11.5,10.75,56.56,31.87,20.25,19.19
21587,12.06,11.5,10.75,56.56,31.87,20.25,19.19
21699,12.06,11.5,10.75,56.56,31.87,20.5,19.19
21812,12.06,11.5,10.75,56.56,31.69,20.5,19.31
21923,12.06,11.56,10.75,56.56,31.69,20.5,19.31
22036,12.06,11.56,10.75,56.63,31.69,20.44,19.31
22148,12.06,11.56,10.75,56.63,31.94,20.44,19.5
22260,12.06,11.56,10.75,56.63,31.94,20.44,19.5
22372,12.06,11.56,10.75,56.63,31.94,20.44,19.5
22484,12.06,11.56,10.75,56.63,31.94,20.25,19.31
22597,12.06,11.81,10.75,56.63,31.94,20.25,19.31
22709,12.06,11.81,10.75,56.69,31.94,20.25,19.31
22821,12.06,11.81,10.75,56.69,31.94,20.19,19.31
22933,12.06,11.56,10.75,56.69,31.87,20.19,19.25
23046,12.31,11.56,10.75,56.69,31.87,20.19,19.25
23157,12.31,11.56,10.75,56.69,31.87,20.25,19.25
23270,12.31,11.56,10.75,56.69,31.87,20.25,19.31
23382,12.06,11.56,10.75,56.69,31.87,20.25,19.31
23494,12.06,11.56,10.75,56.69,31.87,20.25,19.31
23606,12.06,11.56,10.75,56.69,32.19,20.25,19.25
23718,12.06,11.81,11,56.69,32.19,20.25,19.25
23830,12.31,11.81,11,56.69,32.19,20.25,19.25
23943,12.31,11.81,11,56.69,31.94,20.25,19.25
24054,12.31,11.56,10.75,56.94,31.94,20.25,19.25
24167,12.06,11.56,10.75,56.94,31.94,20.19,19.25
24279,12.06,11.56,10.75,56.94,31.94,20.19,19.5
24391,12.06,11.5,11,56.69,31.94,20.19,19.5
24504,12.06,11.5,11,56.69,31.94,20.5,19.5
24615,12.06,11.5,11,56.69,32.19,20.5,19.37
24728,12.06,11.75,11,56.69,32.19,20.5,19.37
24840,12.31,11.75,11,56.69,32.19,20.5,19.37
24952,12.31,11.75,11,56.69,32.19,20.25,19.37
25064,12.31,11.75,11,56.69,32.19,20.25,19.37
25177,12.06,11.5,10.75,56.69,32.19,20.25,19.37
25288,12.06,11.5,10.75,56.69,31.87,20.19,19.37
25401,12.06,11.5,10.75,56.69,31.87,20.19,19.19
25512,12.06,11.56,10.75,56.69,31.87,20.19,19.19
25625,12.06,11.56,10.75,56.69,31.87,20.44,19.19
25737,12.06,11.56,10.75,56.69,31.87,20.44,19.31
25849,12.06,11.5,10.75,56.69,31.87,20.44,19.31
25961,12.06,11.5,10.75,56.69,31.87,20.44,19.31
26074,12.06,11.5,10.75,56.75,31.87,20.44,19.25
26185,12.06,11.5,10.75,56.75,31.87,20.44,19.25
26298,12.06,11.5,10.75,56.75,31.87,20.25,19.25
26409,12.06,11.5,10.75,56.75,31.87,20.25,19.31
26522,12.06,11.5,11,56.75,31.87,20.25,19.31
26634,12.06,11.5,11,56.75,31.87,20.5,19.31
26746,12.06,11.5,11,56.75,31.87,20.5,19.5
26858,12.06,11.5,10.75,56.75,31.87,20.5,19.5
26971,12.06,11.5,10.75,56.75,31.87,20.19,19.5
27082,12.06,11.5,10.75,56.75,31.87,20.19,19.06
27195,12.06,11.5,11,56.94,31.87,20.19,19.06
27307,12.31,11.5,11,56.94,31.87,20.19,19.06
27419,12.31,11.5,11,56.94,31.87,20.19,19.06
27531,12.31,11.5,10.75,56.94,31.87,20.19,19.25
27643,12.31,11.5,10.75,56.94,31.87,20.19,19.25
27756,12.06,11.5,10.75,56.94,31.87,20.44,19.25
27868,12.06,11.5,10.75,57,31.87,20.44,19.06
27980,12.06,11.75,10.75,57,31.87,20.44,19.06
28092,12.06,11.75,10.75,57,31.87,20.44,19.06
28205,12.06,11.75,10.75,56.75,31.87,20.44,19.25
28316,12.06,11.75,10.75,56.75,31.87,20.44,19.25
28429,12.06,11.5,10.75,56.75,31.87,20.25,19.25
28540,12.06,11.5,10.75,56.75,31.87,20.25,19.5
28653,12.06,11.5,10.75,56.75,31.87,20.25,19.5
28765,12.06,11.5,10.75,56.75,31.87,20.25,19.5
28877,12.06,11.5,10.75,56.75,31.87,20.25,19.5
28989,12.06,11.5,10.75,56.75,31.87,20.25,19.5
29102,12.06,11.75,10.75,56.75,31.87,20.5,19.5
29213,12.06,11.75,10.75,56.75,31.87,20.5,19.12
29326,12.06,11.75,10.75,56.75,31.87,20.5,19.12
29437,12.06,11.75,10.75,56.75,31.87,20.5,19.12
29550,12.06,11.75,10.75,56.75,31.87,20.19,19.12
29662,12.06,11.75,11,56.75,31.87,20.19,19.56
29774,12.06,11.75,11,56.75,31.87,20.19,19.56
29886,12.06,11.75,11,56.94,31.87,20.25,19.56
29999,12.06,11.75,10.75,56.94,31.87,20.25,19.25
30110,12.06,11.75,10.75,56.94,31.87,20.25,19.25
30223,12,11.75,10.75,56.75,31.87,20.5,19.25
30334,12,11.75,11,56.75,31.87,20.5,19.31
30447,12,11.75,11,56.75,31.87,20.5,19.31
30559,12.06,11.5,11,57,32.13,20.25,19.31
30671,12.06,11.5,10.75,57,32.13,20.25,19.25
30784,12.06,11.5,10.75,57,32.13,20.25,19.25
30896,12.06,11.75,10.75,57,31.87,20.19,19.25
31008,12.06,11.75,11,57,31.87,20.19,19.06
31120,12.06,11.75,11,57,31.87,20.19,19.06
31233,12.31,11.5,11,56.81,31.87,20.19,19.06
31344,12.31,11.5,10.75,56.81,31.87,20.19,19.25
31457,12.31,11.5,10.75,56.81,31.87,20.19,19.25
31568,12.31,11.5,10.75,57.06,31.87,20.19,19.25
31681,12,11.75,11,57.06,31.87,20.19,19.25
31793,12,11.75,11,57.06,31.87,20.19,19.31
31905,12,11.75,11,56.81,31.87,20.19,19.31
32017,12,11.75,11,56.81,31.87,20.25,19.31
32130,12,11.75,10.75,56.81,31.87,20.25,19.25
32241,12,11.75,10.75,56.81,31.87,20.25,19.25
32354,12,11.5,10.75,56.81,31.62,20.25,19.25
32465,12,11.5,10.75,56.81,31.62,20.25,19.12
32578,12,11.5,10.75,56.75,31.62,20.25,19.12
32690,12,11.5,10.75,56.75,31.87,20.5,19.12
32802,12,11.5,10.75,56.75,31.87,20.5,19.31
32914,12,11.5,10.75,56.75,31.87,20.5,19.31
33027,12,11.5,10.75,56.75,31.87,20.19,19.31
33138,12,11.5,10.75,56.75,31.87,20.19,19.19
33251,12,11.5,10.75,56.75,31.87,20.19,19.19
33362,12,11.5,10.75,56.75,31.87,20.25,19.19
33475,12.06,11.5,10.75,56.75,31.87,20.25,19.31
33587,12.06,11.5,10.75,56.75,31.87,20.25,19.31
33699,12.06,11.5,10.75,56.75,32.06,20.25,19.31
33811,12,11.5,11,56.75,32.06,20.25,19.31
33924,12,11.5,11,56.75,32.06,20.25,19.25
