#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
3507912,4.31,3.44,2.31,19.81,30.00,21.00,18.75,19.00
3508024,4.31,3.44,2.31,19.81,30.00,21.00,18.75,19.00
3508136,4.31,3.44,2.31,19.81,30.00,21.00,18.75,19.00
3508248,4.06,3.69,2.31,19.81,30.00,20.75,18.69,19.00
3508361,4.06,3.69,2.31,19.81,30.00,20.75,18.69,19.00
3508472,4.06,3.69,2.31,19.81,29.81,20.75,18.69,19.00
3508585,4.31,3.69,2.31,19.81,29.81,20.75,18.75,19.00
3508697,4.31,3.44,2.31,19.81,29.81,20.75,18.75,19.00
3508809,4.31,3.44,2.31,19.81,30.00,20.75,18.75,19.00
3508921,4.31,3.44,2.31,19.81,30.00,21.00,18.69,19.00
3509033,4.31,3.44,2.56,19.81,30.00,21.00,18.69,19.00
3509145,4.31,3.44,2.56,19.81,30.06,21.00,18.69,19.00
3509258,4.31,3.44,2.56,19.81,30.06,21.00,18.75,19.00
3509369,4.06,3.44,2.31,20.06,30.06,20.75,18.75,19.00
3509481,4.06,3.44,2.31,20.06,30.00,20.75,18.75,19.00
3509594,4.06,3.44,2.31,20.06,30.00,20.75,18.69,19.00
3509705,4.06,3.44,2.31,20.12,30.00,20.75,18.69,19.00
3509818,4.06,3.44,2.31,20.12,29.81,20.75,18.69,19.00
3509929,4.06,3.44,2.31,20.12,29.81,20.75,18.69,19.00
3510042,4.06,3.69,2.31,19.94,29.81,20.75,18.50,19.00
3510154,4.06,3.69,2.56,19.94,29.81,20.75,18.50,19.00
3510266,4.06,3.69,2.56,19.94,30.00,20.75,18.50,19.00
3510378,4.31,3.69,2.56,20.06,30.00,21.00,18.69,19.00
3510491,4.31,3.69,2.31,20.06,30.00,21.00,18.69,19.00
3510602,4.31,3.69,2.31,20.06,30.00,21.00,18.69,19.00
3510715,4.06,3.69,2.31,20.06,30.00,21.00,18.75,19.00
3510827,4.06,3.69,2.56,20.00,30.00,21.00,18.75,19.00
3510938,4.06,3.69,2.56,20.00,30.00,21.00,18.75,19.00
3511051,4.31,3.69,2.56,20.00,30.00,20.75,18.62,19.00
3511162,4.31,3.44,2.31,20.06,30.00,20.75,18.62,19.00
3511275,4.31,3.44,2.31,20.06,30.00,20.75,18.62,19.00
3511387,4.31,3.44,2.31,20.06,30.00,20.75,18.75,19.00
3511499,4.06,3.69,2.56,20.31,30.00,20.75,18.75,19.00
3511611,4.06,3.69,2.56,20.31,30.00,20.75,18.75,19.00
3511724,4.06,3.69,2.56,20.31,30.00,20.75,18.69,19.00
3511835,4.31,3.69,2.31,20.31,30.00,20.75,18.69,19.00
3511948,4.31,3.44,2.31,20.31,29.94,20.75,18.69,19.00
3512059,4.31,3.44,2.31,20.31,29.94,20.75,18.75,19.00
3512172,4.06,3.44,2.31,20.12,29.94,20.75,18.75,19.00
3512284,4.06,3.44,2.31,20.12,30.00,20.75,18.75,19.00
3512396,4.06,3.44,2.31,20.12,30.00,20.75,18.75,19.00
3512508,4.31,3.44,2.56,20.12,30.00,21.00,18.62,19.00
3512621,4.31,3.44,2.56,20.12,29.75,21.00,18.62,19.00
3512732,4.31,3.44,2.56,20.12,29.75,21.00,18.62,19.00
3512845,4.31,3.44,2.56,20.12,29.75,20.75,18.75,19.00
3512956,4.31,3.44,2.56,20.12,29.94,20.75,18.75,19.00
3513068,4.31,3.44,2.56,20.12,29.94,20.75,18.75,19.00
3513181,4.31,3.44,2.31,20.37,29.94,20.75,18.75,19.00
3513292,4.31,3.44,2.31,20.37,29.94,20.75,18.75,19.25
3513405,4.31,3.44,2.31,20.37,29.94,20.75,18.75,19.25
3513517,4.31,3.44,2.56,20.19,29.94,21.00,18.69,19.25
3513629,4.31,3.44,2.56,20.19,29.94,21.00,18.69,19.00
3513741,4.31,3.69,2.56,20.19,29.94,21.00,18.69,19.00
3513853,4.31,3.69,2.56,20.50,29.94,21.00,18.75,19.00
3513965,4.31,3.69,2.56,20.50,29.94,21.00,18.75,19.00
3514078,4.31,3.44,2.56,20.50,29.94,21.00,18.75,19.00
3514189,4.31,3.44,2.56,20.25,29.94,21.00,18.87,19.00
3514302,4.31,3.44,2.31,20.25,29.94,21.00,18.87,19.00
3514414,4.31,3.44,2.31,20.25,30.19,21.00,18.87,19.00
3514526,4.31,3.44,2.31,20.25,30.19,21.00,18.87,19.00
3514638,4.31,3.44,2.56,20.25,30.19,21.00,18.75,19.00
3514750,4.31,3.44,2.56,20.25,29.94,21.00,18.75,19.00
3514862,4.31,3.44,2.56,20.19,29.94,21.00,18.75,19.00
3514975,4.31,3.44,2.31,20.19,29.94,21.00,18.62,19.00
3515086,4.31,3.69,2.31,20.19,29.94,21.00,18.62,19.25
3515199,4.31,3.69,2.31,20.19,29.94,21.00,18.62,19.25
3515311,4.31,3.69,2.31,20.19,29.94,20.75,18.75,19.25
3515423,4.31,3.69,2.31,20.19,29.94,20.75,18.75,19.00
3515535,4.31,3.44,2.31,20.50,29.94,20.75,18.75,19.00
3515648,4.31,3.44,2.31,20.50,29.94,21.00,18.62,19.00
3515759,4.31,3.44,2.31,20.50,29.94,21.00,18.62,19.00
3515872,4.31,3.69,2.31,20.25,29.94,21.00,18.62,19.00
3515983,4.31,3.69,2.31,20.25,29.94,21.00,18.75,19.00
3516095,4.31,3.69,2.31,20.25,29.94,21.00,18.75,19.00
3516208,4.31,3.44,2.31,20.25,29.94,21.00,18.75,19.00
3516319,4.31,3.44,2.56,20.25,29.94,21.00,18.69,19.00
3516432,4.31,3.44,2.56,20.25,29.94,21.00,18.69,19.25
3516544,4.31,3.69,2.56,20.31,29.94,21.00,18.69,19.25
3516656,4.31,3.69,2.56,20.31,29.94,20.75,18.69,19.25
3516768,4.31,3.69,2.56,20.31,29.94,20.75,19.00,19.25
3516880,4.31,3.69,2.56,20.31,29.94,20.75,19.00,19.25
3516992,4.31,3.44,2.31,20.31,29.94,21.00,19.00,19.25
3517105,4.31,3.44,2.31,20.31,29.94,21.00,18.69,19.25
3517216,4.00,3.44,2.31,20.50,29.94,21.00,18.69,19.00
3517329,4.00,3.44,2.31,20.50,29.94,21.00,18.69,19.00
3517441,4.00,3.44,2.31,20.50,29.94,21.00,18.62,19.00
3517553,4.31,3.44,2.31,20.19,29.94,21.00,18.62,19.00
3517665,4.31,3.69,2.31,20.19,29.94,21.00,18.62,19.00
3517777,4.31,3.69,2.31,20.19,29.94,21.00,18.69,19.00
3517889,4.31,3.69,2.31,20.19,29.87,21.00,18.69,19.00
3518002,4.31,3.63,2.31,20.06,29.87,21.00,18.69,19.00
3518113,4.31,3.63,2.25,20.06,29.87,21.00,18.87,19.00
3518226,4.31,3.63,2.25,20.06,29.69,21.00,18.87,19.00
3518338,4.31,3.69,2.25,20.12,29.69,21.00,18.87,19.00
3518450,4.31,3.69,2.56,20.12,29.69,21.00,18.69,19.00
3518562,4.31,3.69,2.56,20.12,29.87,21.00,18.69,19.00
3518673,4.31,3.69,2.56,20.06,29.87,21.00,18.69,19.00
3518786,4.31,3.69,2.31,20.06,29.87,21.00,18.62,19.00
3518898,4.06,3.69,2.31,20.06,29.87,21.00,18.62,19.00
3519010,4.06,3.69,2.31,20.06,29.87,21.00,18.62,19.00
3519122,4.06,3.44,2.56,20.06,29.87,21.00,18.62,19.00
3519235,4.06,3.44,2.56,20.06,29.87,21.00,18.69,19.00
3519346,4.06,3.44,2.56,20.31,29.87,21.00,18.69,19.00
3519459,4.06,3.44,2.25,20.31,29.87,20.75,18.69,19.00
3519570,4.06,3.44,2.25,20.31,29.87,20.75,18.62,19.00
3519683,4.31,3.44,2.25,20.06,29.87,20.75,18.62,19.00
3519795,4.31,3.44,2.31,20.06,29.87,20.75,18.62,19.00
3519907,4.31,3.44,2.31,20.06,29.87,20.75,18.75,19.00
3520019,4.06,3.44,2.31,20.37,29.87,20.75,18.75,19.00
3520132,4.06,3.44,2.56,20.37,29.87,20.75,18.75,19.00
3520243,4.06,3.69,2.56,20.37,29.87,21.00,18.62,19.00
3520355,4.31,3.69,2.56,20.12,29.87,21.00,18.62,19.00
3520467,4.31,3.69,2.25,20.12,29.87,21.00,18.62,19.00
