#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
41600,-0.81,-0.75,-0.63,-1.06,-0.12,0.00,17.69,18.25
41712,-0.81,-0.75,-0.63,-1.06,-0.12,0.00,17.69,18.25
41824,-0.81,-0.75,-0.63,-0.81,-0.37,0.25,17.69,18.25
41935,-0.81,-0.75,-0.63,-0.81,-0.37,0.25,17.87,18.25
42048,-0.81,-0.75,-0.63,-0.81,-0.37,0.25,17.87,18.25
42160,-0.81,-0.75,-0.63,-1.06,-0.12,0.25,17.87,18.25
42271,-0.81,-0.75,-0.88,-1.06,-0.12,0.25,17.81,18.25
42383,-0.81,-0.50,-0.88,-1.06,-0.12,0.25,17.81,18.25
42496,-0.81,-0.50,-0.88,-1.06,-0.12,0.25,17.81,18.25
42607,-0.81,-0.50,-0.63,-1.06,-0.12,0.25,17.56,18.25
42719,-0.81,-0.75,-0.63,-1.06,-0.12,0.25,17.56,18.25
42831,-0.81,-0.75,-0.63,-0.81,-0.12,0.25,17.56,18.25
42943,-0.81,-0.75,-0.63,-0.81,-0.12,0.25,17.87,18.25
43055,-0.81,-0.50,-0.63,-0.81,-0.12,0.25,17.87,18.25
43166,-0.81,-0.50,-0.63,-1.06,-0.12,0.25,17.87,18.25
43279,-0.81,-0.50,-0.63,-1.06,-0.12,0.25,17.75,18.25
43390,-0.81,-0.50,-0.63,-1.06,-0.12,0.25,17.75,18.25
43502,-0.81,-0.75,-0.63,-0.81,-0.12,0.25,17.75,18.25
43615,-0.81,-0.75,-0.88,-0.81,-0.12,0.00,17.75,18.25
43726,-0.81,-0.75,-0.88,-0.81,-0.12,0.00,18.37,18.25
43838,-0.81,-0.75,-0.88,-1.06,-0.12,0.00,18.37,18.25
43950,-0.81,-0.75,-0.88,-1.06,-0.12,0.25,18.37,18.25
44062,-0.81,-0.75,-0.63,-1.06,-0.12,0.25,17.25,18.25
