#!,Workbook:,Custom,Custom,,,,,
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.,,,,,,,
#!,For more information visit http://aka.ms/hackingstem/,,,,,,,
1152715,26.56,26.94,27.12,27.44,37.94,25.06,20.12,20.25
1152827,26.56,26.94,27.12,27.19,37.69,25.06,20.12,20.25
1152940,26.56,26.94,27.12,27.19,37.69,25.12,20.06,20.25
1153052,26.56,26.94,27.12,27.19,37.69,25.12,20.06,20.25
1153164,26.56,26.94,27.12,27.12,37.94,25.12,20.06,20.25
1153276,26.56,26.94,26.87,27.12,37.94,25.12,20.19,20.25
1153388,26.87,26.94,26.87,27.12,37.94,25.12,20.19,20.25
1153501,26.87,26.94,26.87,27.12,37.94,25.12,20.19,20.25
1153613,26.87,27.19,27.12,27.12,37.94,25.12,20,20.25
1153725,26.87,27.19,27.12,27.12,37.94,25.12,20,20.25
1153838,26.87,27.19,27.12,27.12,37.69,25.12,20,20
1153950,26.87,26.94,26.87,27.12,37.69,24.87,20.19,20
1154062,26.87,26.94,26.87,27.12,37.69,24.87,20.19,20
1154174,26.87,26.94,26.87,27.12,37.69,24.87,20.19,20.25
1154287,26.87,27.19,27.12,27.12,37.69,24.87,19.62,20.25
1154399,26.87,27.19,27.12,27.12,37.69,25.06,19.62,20.25
1154511,26.87,27.19,27.12,27.12,37.69,25.06,19.62,20.25
1154623,26.87,26.94,26.87,27.12,37.94,25.06,19.62,20.25
1154736,26.87,26.94,26.87,27.12,37.94,24.81,20,20.25
1154848,26.87,26.94,26.87,27.19,37.94,24.81,20,20.25
1154960,26.87,26.94,26.87,27.19,37.69,24.81,20,20.25
1155073,26.62,26.94,27.12,27.19,37.69,24.81,20.31,20.25
1155185,26.62,26.94,27.12,27.12,37.69,24.81,20.31,20.25
1155297,26.62,26.94,27.12,27.12,37.69,24.81,20.31,20.25
1155409,26.62,26.94,26.87,27.12,37.69,25.06,20.5,20.25
1155521,26.62,26.94,26.87,27.12,37.69,25.06,20.5,20.5
1155634,26.62,26.94,26.87,27.12,37.69,25.06,20.5,20.5
1155746,26.62,26.94,27.12,27.12,37.69,25.06,20.12,20.5
1155858,26.62,26.94,27.12,27.12,37.69,25.06,20.12,20.25
